                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0872,                 0.8562,                 1.5075,                0.99574,                0.66667,                0.82283,                0.38383,                 1.8125,                 1.4387,                 2.4199,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.1759,                0.89174,                 1.5672,                0.87705,                    0.4,                 0.5863,                  0.266,                  2.008,                 1.8102,                 2.7331,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.1224,                0.87032,                 1.5468,                0.38742,                    0.6,                0.50462,                0.16378,                 2.3102,                 2.1087,                 2.8061,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.1688,                0.86605,                 1.5916,                0.62421,                0.46667,                0.40813,                0.15261,                 2.1696,                 2.4608,                 3.0666,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.0987,                0.87943,                 1.5481,                0.61279,                 0.6341,                0.56247,                0.31918,                 2.0697,                 1.3893,                 2.6869,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.1136,                0.83044,                 1.5311,                0.93415,                0.53333,                0.76435,                0.36077,                  1.888,                 1.3789,                 2.3437,              0.0016238,              0.0016238,              0.0016238
                     41,                  1.077,                0.81459,                 1.5365,                0.60898,                    0.8,                0.77913,                0.33564,                 1.8344,                 1.4266,                 2.5936,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.0698,                0.77094,                 1.4954,                0.54315,                    0.8,                0.69622,                0.33211,                 2.0298,                 1.3852,                 2.7513,               0.001604,               0.001604,               0.001604
                     43,                 1.1062,                0.82171,                 1.5323,                0.52964,                0.73333,                0.66276,                0.27096,                 2.1281,                 1.6443,                 2.7962,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.0778,                0.81465,                 1.5309,                0.85154,                    0.8,                0.82453,                  0.401,                 1.8093,                  1.461,                 2.3946,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.0957,                0.79344,                 1.5251,                0.76524,                0.46667,                0.56147,                0.24133,                 2.0561,                 1.7917,                 2.7184,              0.0015743,              0.0015743,              0.0015743
                     46,                 1.0943,                0.76517,                 1.5111,                0.78564,                0.73303,                0.78871,                0.39655,                 1.7953,                 1.1551,                 2.5438,              0.0015644,              0.0015644,              0.0015644
                     47,                 1.0454,                 0.7584,                 1.4791,                0.60141,                0.70508,                0.62753,                0.33751,                 1.9992,                 1.3865,                 2.5435,              0.0015545,              0.0015545,              0.0015545
                     48,                 1.0801,                0.79896,                  1.524,                0.56056,                    0.6,                0.58371,                0.29911,                 1.8154,                   1.57,                 2.5229,              0.0015446,              0.0015446,              0.0015446
                     49,                 1.0957,                0.77315,                 1.5142,                0.85526,                    0.6,                0.70556,                0.30923,                 1.9681,                  1.506,                  2.544,              0.0015347,              0.0015347,              0.0015347
                     50,                 1.0379,                0.75783,                 1.4828,                0.67116,                    0.8,                0.67013,                 0.2944,                 1.8276,                 1.6056,                 2.4107,              0.0015248,              0.0015248,              0.0015248
                     51,                 1.0348,                 0.7579,                 1.4659,                0.48445,                0.87735,                0.73263,                0.35757,                 1.8189,                 1.3195,                 2.4205,              0.0015149,              0.0015149,              0.0015149
                     52,                  1.036,                 0.7692,                 1.4649,                  0.353,                0.66667,                0.53907,                 0.2223,                  2.041,                 1.5611,                 2.6821,               0.001505,               0.001505,               0.001505
                     53,                 1.0542,                0.76664,                 1.4987,                0.81143,                    0.6,                0.66716,                0.25015,                 1.9199,                 1.5055,                 2.7429,              0.0014951,              0.0014951,              0.0014951
                     54,                 1.0541,                0.79408,                 1.5058,                0.59144,                0.73333,                 0.6336,                0.23511,                  2.301,                 1.4994,                 2.9763,              0.0014852,              0.0014852,              0.0014852
                     55,                 1.0492,                0.72073,                 1.4689,                0.72693,                    0.6,                0.64776,                0.34156,                 1.9368,                 1.4246,                 2.5385,              0.0014753,              0.0014753,              0.0014753
